VIN number,Department,Job Description,Status,Addmission date,Release date,Cost,
12345AB,express,oil change,closed,21-01-2020,21-01-2020,15,
57865CD,express,air filter,closed,01-01-2021,01-01-2021,50,
57865CD,express,oil change,closed,03-02-2021,03-02-2021,12,
90988XR,major,suspension,closed,02-02-2021,10-02-2021,200,
90988XR,crash,front bumper,open,02-02-2022,open,200,
74643TT,express,oild change,closed,04-03-2020,05-03-2020,20,
74643TT,major,engine head,open,03-01-2022,open,400,
74643TT,express,break pedals,closed,02-05-2020,06-05-2020,200,
33423RF,express,oil change,closed,08-07-2018,10-07-2018,80,
33423RF,major,transmission,closed,20-08-2019,20-09-2019,1000,
33423RF,major,suspension,open,20-01-2022,open,1500,
